Total Size,u-ch427-n1280-start-paper-pack0-x0,0,23983328
Total Size,u-ch427-n1280-start-paper-pack0-x1,1,16440608
Total Size,u-ch427-n1280-start-paper-pack0-x2,2,0
Total Size,u-ch427-n1280-start-paper-pack0-x3,3,0
Total Size,u-ch427-n1280-start-paper-pack0-x4,4,0
Total Size,u-ch427-n1280-start-paper-pack0-x5,5,0
Total Size,u-ch427-n1280-start-paper-pack0-x6,6,0
Total Size,u-ch427-n1280-start-paper-pack0-x7,7,0
Total Size,u-ch427-n1280-start-paper-pack0-x8,8,23983328
Total Size,u-ch427-n1280-start-paper-pack0-x9,9,16185116
