Total Size,u-ch427-n96-max18-stdev-one-ens00,0,0
Total Size,u-ch427-n96-max18-stdev-one-ens01,1,0
Total Size,u-ch427-n96-max18-stdev-one-ens02,2,0
Total Size,u-ch427-n96-max18-stdev-one-ens03,3,0
Total Size,u-ch427-n96-max18-stdev-one-ens04,4,0
Total Size,u-ch427-n96-max18-stdev-one-ens05,5,0
Total Size,u-ch427-n96-max18-stdev-one-ens06,6,0
Total Size,u-ch427-n96-max18-stdev-one-ens07,7,0
Total Size,u-ch427-n96-max18-stdev-one-ens08,8,0
Total Size,u-ch427-n96-max18-stdev-one-ens09,9,0
Total Size,u-ch427-n96-max18-stdev-one-ens10,10,0
Total Size,u-ch427-n96-max18-stdev-one-ens11,11,0
Total Size,u-ch427-n96-max18-stdev-one-ens12,12,0
Total Size,u-ch427-n96-max18-stdev-one-ens13,13,0
Total Size,u-ch427-n96-max18-stdev-one-ens14,14,0
Total Size,u-ch427-n96-max18-stdev-one-ens15,15,0
Total Size,u-ch427-n96-max18-stdev-one-ens16,16,0
Total Size,u-ch427-n96-max18-stdev-one-ens17,17,0
Total Size,u-ch427-n96-max18-stdev-one-ens18,18,0
Total Size,u-ch427-n96-max18-stdev-one-ens00,0,0
Total Size,u-ch427-n96-max18-stdev-one-ens01,1,0
Total Size,u-ch427-n96-max18-stdev-one-ens02,2,0
Total Size,u-ch427-n96-max18-stdev-one-ens03,3,0
Total Size,u-ch427-n96-max18-stdev-one-ens04,4,0
Total Size,u-ch427-n96-max18-stdev-one-ens05,5,0
Total Size,u-ch427-n96-max18-stdev-one-ens06,6,0
Total Size,u-ch427-n96-max18-stdev-one-ens07,7,0
Total Size,u-ch427-n96-max18-stdev-one-ens08,8,0
Total Size,u-ch427-n96-max18-stdev-one-ens09,9,0
Total Size,u-ch427-n96-max18-stdev-one-ens10,10,0
Total Size,u-ch427-n96-max18-stdev-one-ens11,11,0
Total Size,u-ch427-n96-max18-stdev-one-ens12,12,0
Total Size,u-ch427-n96-max18-stdev-one-ens13,13,0
Total Size,u-ch427-n96-max18-stdev-one-ens14,14,0
Total Size,u-ch427-n96-max18-stdev-one-ens15,15,0
Total Size,u-ch427-n96-max18-stdev-one-ens16,16,0
Total Size,u-ch427-n96-max18-stdev-one-ens17,17,0
Total Size,u-ch427-n96-max18-stdev-one-ens18,18,0
