Total Size,u-ch427-n96-template-start-paper-00-ens00,0,0
Total Size,u-ch427-n96-template-start-paper-00-ens01,1,0
Total Size,u-ch427-n96-template-start-paper-00-ens02,2,0
Total Size,u-ch427-n96-template-start-paper-00-ens03,3,0
Total Size,u-ch427-n96-template-start-paper-00-ens04,4,0
Total Size,u-ch427-n96-template-start-paper-00-ens05,5,0
Total Size,u-ch427-n96-template-start-paper-00-ens06,6,0
Total Size,u-ch427-n96-template-start-paper-00-ens07,7,0
Total Size,u-ch427-n96-template-start-paper-00-ens08,8,0
Total Size,u-ch427-n96-template-start-paper-00-ens09,9,0
Total Size,u-ch427-n96-template-start-paper-00-ens10,10,0
Total Size,u-ch427-n96-template-start-paper-00-ens11,11,0
Total Size,u-ch427-n96-template-start-paper-00-ens12,12,0
Total Size,u-ch427-n96-template-start-paper-00-ens13,13,0
Total Size,u-ch427-n96-template-start-paper-00-ens14,14,0
Total Size,u-ch427-n96-template-start-paper-00-ens15,15,0
Total Size,u-ch427-n96-template-start-paper-00-ens16,16,0
Total Size,u-ch427-n96-template-start-paper-00-ens17,17,0
Total Size,u-ch427-n96-template-start-paper-00-ens18,18,0
Total Size,u-ch427-n96-template-start-paper-00,0,0
Total Size,u-ch427-n96-template-start-paper-00,1,0
Total Size,u-ch427-n96-template-start-paper-00,2,0
Total Size,u-ch427-n96-template-start-paper-00,3,0
Total Size,u-ch427-n96-template-start-paper-00,4,0
